Teh Tarik,Ice Tea,Hot Robusta,Kebab
Lemon Tea,Ice Tea,Ice Cappucino,Ice Coffee Latte,Hot Arabica,Donat,French Fries
Ice Tea,Ice Choco Late,French Fries
Ice Tea,Ice Cappucino,Ice Coffee Latte,Blue Ocean
Teh Tarik,Ice Tea,Ice Coffee Latte,Hot Arabica,French Fries
Ice Tea,Ice Cappucino,Hot Arabica,Pisang Coklat Keju,French Fries
Matcha Tea,Teh Tarik,Ice Tea,Ice Choco Oreo,Singkong Keju,Tahu Crispy,French Fries
Lemon Tea,Ice Tea,Ice Choco Delight,Pisang Coklat Keju,Jamur Crispy
Ice Arabica,Ice Cappucino,Ice Choco Late
Majito Viro,Hot Choco Latte,Donat,Onion Ring
Milky Way,Hot Cappucino,Jamur Crispy
Ice Coffee Latte,Majito Viro,Hot Espresso Double Shoot,Singkong Keju,Jamur Crispy
Ice Cappucino,Dreamland,French Fries
Majito Viro,Hot Cappucino,Pisang Coklat Keju
Ice Tea,Ice Arabica
Ice Tea,Ice Choco Oreo,French Fries
Ice Choco Delight,Blue Ocean,Hot Vietnam Drip,French Fries
Ice Tea,Dreamland,Sausage Omelette
Teh Tarik,Ice Tea,Ice Coffee Latte,Ice Choco Delight
Thai Tea,Ice Cappucino,Hot Robusta,Kebab,French Fries,Spaghetti
Ice Tea,Ice Cappucino,Jamur Crispy,Empek-empek
Ice Tea,Hot Espresso Single Shoot,Hot Choco Latte,Donat,French Fries
Teh Tarik,Ice Tea,Ice Choco Late,Donat
Matcha Tea,Hot Choco Latte,Kebab
Matcha Tea,Ice Tea,Ice Choco Oreo,Kebab,French Fries
Ice Choco Oreo,Hot Cappucino,Tahu Crispy,Onion Ring
Matcha Tea,Ice Tea,Ice Choco Late,Milky Way,Hot Arabica,Hot Coffee Latte,Donat,Jamur Crispy,
Thai Tea,Teh Tarik,Ice Tea,Kebab,Onion Ring,Sausage Omelette
Ice Tea,Ice Cappucino,Hot Espresso Double Shoot,Pisang Coklat Keju,French Fries,Sausage Omelette
Lemon Tea,Ice Tea,Hot Espresso Double Shoot
Ice Choco Delight
Ice Tea,Majito Viro,Hot Arabica,Rujak Cireng
Lemon Tea,Ice Tea,Ice Robusta,Hot Cappucino,Empek-empek Lengkap
Ice Tea,Blue Ocean,French Fries
Ice Coffee Latte,Ice Choco Oreo,Ice Choco Late,Milky Way,French Fries
Ice Tea,Hot Espresso Double Shoot,Kebab
Teh Tarik,Ice Tea,Ice Cappucino
Teh Tarik,Ice Tea,Ice Choco Late,Kebab
Ice Tea,French Fries
Ice Tea,Ice Choco Delight,Tahu Crispy
Ice Coffee Latte
Teh Tarik,Ice Tea,Hot Coffee Latte,Hot Choco Latte,Kebab
Teh Tarik,Ice Tea,Ice Arabica,Kebab,Pisang Coklat Keju,French Fries
Ice Tea,Hot Arabica,Hot Espresso Single Shoot,Hot Choco Latte,Empek-empek Lengkap
Teh Tarik,Ice Tea,Ice Arabica,Hot Arabica,Hot Coffee Latte,Pisang Coklat Keju,Jamur Crispy,French Fries,
Ice Tea,Majito Viro,Hot Espresso Double Shoot,Hot Kopi Susu G. Aren
Matcha Tea,Lemon Tea,Ice Tea,Ice Cappucino,Hot Kopi Susu G. Aren,Pisang Coklat Keju
Ice Tea,Ice Cappucino,Hot Espresso Single Shoot
Ice Cappucino,Ice Choco Late,Sausage Omelette
Teh Tarik,Ice Tea,Jamur Crispy,French Fries
Ice Tea,Ice Choco Late,Hot Vietnam Drip,Donat,French Fries
Ice Tea,Hot Kopi Susu G. Aren,Hot Cappucino
Thai Tea,French Fries
Thai Tea,Ice Tea,Hot Espresso Double Shoot,Kebab,Pisang Coklat Keju,Jamur Crispy
Hot Cappucino,French Fries
Ice Tea,Ice Choco Delight,Pisang Coklat Keju,French Fries
Lemon Tea,Ice Coffee Latte,Ice Choco Oreo
Matcha Tea,Ice Tea,Ice Robusta,Majito Viro,Hot Robusta,Donat,Pisang Coklat Keju,French Fries,
Ice Tea,Ice Arabica,Rujak Cireng,French Fries
Ice Cappucino,Dreamland,Hot Kopi Susu G. Aren,Hot Vietnam Drip
Teh Tarik,Lemon Tea,Ice Tea,Hot Espresso Single Shoot,Hot Choco Latte,Jamur Crispy
Ice Tea,Ice Coffee Latte,Hot Coffee Latte,Tahu Crispy
Teh Tarik,Ice Tea,Majito Viro,Hot Robusta,Donat,Kebab,Onion Ring
Lemon Tea,Ice Cappucino,Donat,French Fries
Ice Choco Late
Matcha Tea,Teh Tarik,Ice Robusta,Ice Coffee Latte,Ice Choco Oreo,Hot Choco Latte,French Fries
Teh Tarik,Ice Cappucino,Kebab,Jamur Crispy
Majito Viro,French Fries
Matcha Tea,Teh Tarik,Ice Tea,French Fries
Thai Tea,Lemon Tea,Ice Tea,Hot Robusta
Ice Arabica,Ice Coffee Latte,Pisang Coklat Keju,French Fries
Ice Tea,French Fries
Ice Tea,Ice Cappucino,Ice Coffee Latte,French Fries
Lemon Tea,Majito Viro,Hot Kopi Susu G. Aren,French Fries
Lemon Tea,Ice Tea,Ice Arabica,Hot Espresso Double Shoot,French Fries,Sausage Omelette
Ice Coffee Latte
Lemon Tea,Ice Tea,Ice Coffee Latte,Ice Choco Delight,French Fries
Teh Tarik,Ice Tea,Ice Robusta,French Fries
Ice Tea,Ice Choco Late,Hot Espresso Single Shoot,Hot Cappucino,Donat,French Fries
Matcha Tea,Ice Tea,Ice Arabica,Ice Choco Oreo,Hot Vietnam Drip,Donat
Ice Choco Oreo
Ice Tea,Ice Choco Oreo,Ice Choco Delight,Hot Choco Latte,Donat
